Temperature Weighting Function for Channel TLT
Surface Type: land
--------------------------------------------------------
Surface Weight                                  0.15104
--------------------------------------------------------      
level      h(m)    T(K)      P(pa)    PV(pa)     Weight
 112   33600.00    233.71    705.67    0.0000  -0.00003
 113   33900.00    234.31    675.27    0.0000  -0.00004
 114   34200.00    234.91    646.18    0.0000  -0.00001
 115   34500.00    235.51    618.35    0.0000  -0.00001
 116   34800.00    236.11    591.71    0.0000  -0.00001
 117   35100.00    236.79    566.67    0.0000  -0.00002
 118   35400.00    237.62    543.57    0.0000  -0.00001
 119   35700.00    238.45    521.41    0.0000   0.00000
 120   36000.00    239.28    500.16    0.0000  -0.00002
 121   36300.00    240.11    479.77    0.0000  -0.00001
 122   36600.00    240.94    460.21    0.0000  -0.00001
 123   36900.00    241.77    441.45    0.0000   0.00000
 124   37200.00    242.60    423.45    0.0000  -0.00000
 125   37500.00    243.43    406.19    0.0000  -0.00001
 126   37800.00    244.26    389.63    0.0000   0.00000
 127   38100.00    245.09    373.74    0.0000  -0.00002
 128   38400.00    245.92    358.51    0.0000  -0.00002
 129   38700.00    246.75    343.89    0.0000   0.00002
 130   39000.00    247.58    329.87    0.0000  -0.00000
 131   39300.00    248.41    316.42    0.0000  -0.00002
 132   39600.00    249.24    303.53    0.0000  -0.00001
 133   39900.00    250.07    291.15    0.0000   0.00001
 134   40200.00    250.90    279.71    0.0000   0.00001
 135   40500.00    251.73    268.93    0.0000   0.00001
 136   40800.00    252.56    258.56    0.0000   0.00000
 137   41100.00    253.39    248.59    0.0000  -0.00002
 138   41400.00    254.22    239.00    0.0000  -0.00002
 139   41700.00    255.05    229.79    0.0000  -0.00001
 140   42000.00    255.88    220.93    0.0000  -0.00001
 141   42300.00    256.70    212.41    0.0000  -0.00001
 142   42600.00    257.53    204.22    0.0000  -0.00001
 143   42900.00    258.36    196.34    0.0000   0.00001
 144   43200.00    259.19    188.77    0.0000   0.00001
 145   43500.00    260.02    181.49    0.0000   0.00001
 146   43800.00    260.85    174.50    0.0000   0.00001
 147   44100.00    261.68    167.77    0.0000   0.00001
 148   44400.00    262.51    161.30    0.0000   0.00001
 149   44700.00    263.34    155.08    0.0000   0.00001
 150   45000.00    264.16    149.10    0.0000  -0.00001
 151   45300.00    264.55    143.61    0.0000  -0.00001
 152   45600.00    264.94    138.32    0.0000  -0.00003
 153   45900.00    265.33    133.23    0.0000  -0.00003
 154   46200.00    265.72    128.32    0.0000  -0.00001
 155   46500.00    266.11    123.60    0.0000  -0.00001
 156   46800.00    266.50    119.04    0.0000  -0.00001
 157   47100.00    266.89    114.66    0.0000   0.00000
 158   47400.00    267.28    110.44    0.0000   0.00000
 159   47700.00    267.67    106.37    0.0000   0.00000
 160   48000.00    268.06    102.45    0.0000   0.00000
 161   48300.00    268.44     98.68    0.0000   0.00000
 162   48600.00    268.83     95.05    0.0000   0.00000
 163   48900.00    269.22     91.55    0.0000   0.00000
 164   49200.00    269.61     88.17    0.0000   0.00000
 165   49500.00    270.00     84.93    0.0000   0.00000
 166   49800.00    270.39     81.80    0.0000   0.00000
 167   50100.00    270.45     78.78    0.0000   0.00000
 168   50400.00    269.86     75.86    0.0000   0.00000
 169   50700.00    269.27     73.05    0.0000   0.00000
 170   51000.00    268.67     70.35    0.0000   0.00000
 171   51300.00    268.08     67.74    0.0000   0.00000
 172   51600.00    267.49     65.23    0.0000   0.00000
 173   51900.00    266.90     62.81    0.0000   0.00000
 174   52200.00    266.30     60.49    0.0000   0.00000
 175   52500.00    265.71     58.25    0.0000   0.00000
 176   52800.00    265.12     56.09    0.0000   0.00000
 177   53100.00    264.53     54.01    0.0000   0.00000
 178   53400.00    263.93     52.01    0.0000   0.00000
 179   53700.00    263.34     50.08    0.0000   0.00000
 180   54000.00    262.75     48.23    0.0000   0.00000
 181   54300.00    262.15     46.44    0.0000   0.00000
 182   54600.00    261.56     44.72    0.0000   0.00000
 183   54900.00    260.97     43.06    0.0000   0.00000
 184   55200.00    260.22     41.42    0.0000   0.00000
 185   55500.00    259.40     39.81    0.0000   0.00000
 186   55800.00    258.57     38.26    0.0000   0.00000
 187   56100.00    257.75     36.77    0.0000   0.00000
 188   56400.00    256.92     35.34    0.0000   0.00000
 189   56700.00    256.10     33.97    0.0000   0.00000
 190   57000.00    255.27     32.65    0.0000   0.00000
 191   57300.00    254.45     31.38    0.0000   0.00000
 192   57600.00    253.62     30.16    0.0000   0.00000
 193   57900.00    252.80     28.98    0.0000   0.00000
 194   58200.00    251.97     27.86    0.0000   0.00000
 195   58500.00    251.15     26.77    0.0000   0.00000
 196   58800.00    250.32     25.73    0.0000   0.00000
 197   59100.00    249.50     24.73    0.0000   0.00000
 198   59400.00    248.67     23.77    0.0000   0.00000
 199   59700.00    247.85     22.85    0.0000   0.00000
 200   60000.00    247.02     21.96    0.0000   0.00000
 201   60300.00    246.20     21.06    0.0000   0.00000
 202   60600.00    245.37     20.19    0.0000   0.00000
 203   60900.00    244.55     19.37    0.0000   0.00000
 204   61200.00    243.73     18.57    0.0000   0.00000
 205   61500.00    242.90     17.81    0.0000   0.00000
 206   61800.00    242.08     17.08    0.0000   0.00000
 207   62100.00    241.25     16.38    0.0000   0.00000
 208   62400.00    240.43     15.71    0.0000   0.00000
 209   62700.00    239.61     15.06    0.0000   0.00000
 210   63000.00    238.78     14.45    0.0000   0.00000
 211   63300.00    237.96     13.85    0.0000   0.00000
 212   63600.00    237.14     13.29    0.0000   0.00000
 213   63900.00    236.31     12.74    0.0000   0.00000
 214   64200.00    235.49     12.22    0.0000   0.00000
 215   64500.00    234.66     11.72    0.0000   0.00000
 216   64800.00    233.84     11.24    0.0000   0.00000
 217   65100.00    233.02     10.77    0.0000   0.00000
 218   65400.00    232.20     10.30    0.0000   0.00000
 219   65700.00    231.37      9.86    0.0000   0.00000
 220   66000.00    230.55      9.43    0.0000   0.00000
 221   66300.00    229.73      9.02    0.0000   0.00000
 222   66600.00    228.91      8.63    0.0000   0.00000
 223   66900.00    228.08      8.25    0.0000   0.00000
 224   67200.00    227.26      7.90    0.0000   0.00000
 225   67500.00    226.44      7.55    0.0000   0.00000
 226   67800.00    225.62      7.23    0.0000   0.00000
 227   68100.00    224.79      6.91    0.0000   0.00000
 228   68400.00    223.97      6.61    0.0000   0.00000
 229   68700.00    223.15      6.33    0.0000   0.00000
 230   69000.00    222.33      6.05    0.0000   0.00000
 231   69300.00    221.50      5.79    0.0000   0.00000
 232   69600.00    220.68      5.54    0.0000   0.00000
 233   69900.00    219.86      5.30    0.0000   0.00000
 234   70200.00    219.14      5.06    0.0000   0.00000
 235   70500.00    218.47      4.83    0.0000   0.00000
 236   70800.00    217.80      4.61    0.0000   0.00000
 237   71100.00    217.12      4.40    0.0000   0.00000
 238   71400.00    216.45      4.19    0.0000   0.00000
 239   71700.00    215.78      4.00    0.0000   0.00000
 240   72000.00    215.11      3.82    0.0000   0.00000
 241   72300.00    214.44      3.64    0.0000   0.00000
 242   72600.00    213.77      3.48    0.0000   0.00000
 243   72900.00    213.10      3.32    0.0000   0.00000
 244   73200.00    212.43      3.16    0.0000   0.00000
 245   73500.00    211.75      3.02    0.0000   0.00000
 246   73800.00    211.08      2.88    0.0000   0.00000
 247   74100.00    210.41      2.75    0.0000   0.00000
 248   74400.00    209.74      2.62    0.0000   0.00000
 249   74700.00    209.07      2.50    0.0000   0.00000
 250   75000.00    208.40      2.39    0.0000   0.00000
 251   75300.00    207.81      2.27    0.0000   0.00000
 252   75600.00    207.23      2.16    0.0000   0.00000
 253   75900.00    206.64      2.06    0.0000   0.00000
 254   76200.00    206.06      1.96    0.0000   0.00000
 255   76500.00    205.47      1.87    0.0000   0.00000
 256   76800.00    204.89      1.78    0.0000   0.00000
 257   77100.00    204.30      1.69    0.0000   0.00000
 258   77400.00    203.71      1.61    0.0000   0.00000
 259   77700.00    203.13      1.53    0.0000   0.00000
 260   78000.00    202.54      1.46    0.0000   0.00000
 261   78300.00    201.96      1.39    0.0000   0.00000
 262   78600.00    201.37      1.32    0.0000   0.00000
 263   78900.00    200.79      1.26    0.0000   0.00000
 264   79200.00    200.20      1.20    0.0000   0.00000
 265   79500.00    199.62      1.14    0.0000   0.00000
 266   79800.00    199.03      1.09    0.0000   0.00000
 267   80100.00    198.44      1.03    0.0000   0.00000
 268   80400.00    197.86      0.98    0.0000   0.00000
 269   80700.00    197.27      0.93    0.0000   0.00000
 270   81000.00    196.69      0.89    0.0000   0.00000
 271   81300.00    196.11      0.84    0.0000   0.00000
 272   81600.00    195.52      0.80    0.0000   0.00000
 273   81900.00    194.94      0.76    0.0000   0.00000
 274   82200.00    194.35      0.72    0.0000   0.00000
 275   82500.00    193.77      0.68    0.0000   0.00000
 276   82800.00    193.18      0.65    0.0000   0.00000
 277   83100.00    192.60      0.62    0.0000   0.00000
 278   83400.00    192.01      0.59    0.0000   0.00000
 279   83700.00    191.43      0.56    0.0000   0.00000
 280   84000.00    190.84      0.53    0.0000   0.00000
 281   84300.00    190.26      0.50    0.0000   0.00000
 282   84600.00    189.67      0.48    0.0000   0.00000
 283   84900.00    189.09      0.45    0.0000   0.00000
 284   85200.00    188.81      0.43    0.0000   0.00000
 285   85500.00    188.69      0.41    0.0000   0.00000
 286   85800.00    188.57      0.39    0.0000   0.00000
 287   86100.00    188.45      0.37    0.0000   0.00000
 288   86400.00    188.33      0.35    0.0000   0.00000
 289   86700.00    188.21      0.33    0.0000   0.00000
 290   87000.00    188.08      0.31    0.0000   0.00000
 291   87300.00    187.96      0.30    0.0000   0.00000
 292   87600.00    187.84      0.28    0.0000   0.00000
 293   87900.00    187.72      0.27    0.0000   0.00000
 294   88200.00    187.60      0.25    0.0000   0.00000
 295   88500.00    187.48      0.24    0.0000   0.00000
 296   88800.00    187.36      0.23    0.0000   0.00000
 297   89100.00    187.23      0.22    0.0000   0.00000
 298   89400.00    187.11      0.20    0.0000   0.00000
 299   89700.00    186.99      0.19    0.0000   0.00000
