"year","met_year","yr_part","month","BEST","BEST_uncertainty","Cowtan & Way Hybrid","Cowtan & Way Hybrid_uncertainty","GISTEMP","GISTEMP NH","GISTEMP SH","HadCRUT3","HadCRUT3v","HadCRUT4","JMA","Keeling","NCEI","NCEP Surface Air","NCEP Surface Air NH","NCEP Surface Air SH","RATPAC-A 850-300 mb","RSS TLT 3.3","RSS TMT 3.3","RSS TMT 4.0","UAH TLT 5.6","UAH TLT 6.0"
1850,1850,1850.04166666667,1,-1.152,0.397,-1.124,0.34692,NA,NA,NA,-0.968,-0.947,-1.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.125,2,-0.643,0.449,-0.538,0.34888,NA,NA,NA,-0.649,-0.644,-0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.20833333333,3,-0.785,0.362,-0.783,0.34104,NA,NA,NA,-1.101,-1.021,-1.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.29166666667,4,-1.075,0.281,-0.904,0.31948,NA,NA,NA,-0.851,-0.836,-0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.375,5,-0.973,0.263,-0.804,0.294,NA,NA,NA,-0.629,-0.656,-0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.45833333333,6,-0.667,0.261,-0.606,0.26852,NA,NA,NA,-0.571,-0.575,-0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.54166666667,7,-0.473,0.256,-0.375,0.24892,NA,NA,NA,-0.506,-0.523,-0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.625,8,-0.487,0.309,-0.332,0.24304,NA,NA,NA,-0.618,-0.61,-0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.70833333333,9,-0.786,0.275,-0.642,0.25676,NA,NA,NA,-0.757,-0.732,-0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.79166666667,10,-0.951,0.328,-0.973,0.28224,NA,NA,NA,-0.746,-0.7,-0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.875,11,-0.901,0.413,-0.794,0.30576,NA,NA,NA,-0.479,-0.502,-0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1851,1850.95833333333,12,-0.852,0.418,-0.739,0.3332,NA,NA,NA,-0.55,-0.559,-0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.04166666667,1,-0.68,0.395,-0.509,0.343,NA,NA,NA,-0.622,-0.58,-0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.125,2,-0.91,0.39,-0.778,0.34496,NA,NA,NA,-0.686,-0.629,-0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.20833333333,3,-0.947,0.354,-1.062,0.33516,NA,NA,NA,-0.788,-0.715,-0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.29166666667,4,-1.092,0.322,-1.014,0.31164,NA,NA,NA,-0.745,-0.683,-0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.375,5,-0.659,0.354,-0.49,0.28616,NA,NA,NA,-0.635,-0.614,-0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.45833333333,6,-0.509,0.278,-0.355,0.26264,NA,NA,NA,-0.524,-0.555,-0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.54166666667,7,-0.422,0.26,-0.377,0.245,NA,NA,NA,-0.548,-0.548,-0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.625,8,-0.596,0.303,-0.384,0.24108,NA,NA,NA,-0.453,-0.496,-0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.70833333333,9,-0.62,0.262,-0.381,0.25676,NA,NA,NA,-0.458,-0.514,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.79166666667,10,-0.514,0.397,-0.393,0.2842,NA,NA,NA,-0.365,-0.425,-0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.875,11,-0.62,0.375,-0.439,0.30968,NA,NA,NA,-0.361,-0.47,-0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1852,1851.95833333333,12,-0.503,0.367,-0.381,0.33124,NA,NA,NA,-0.382,-0.482,-0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
