Time,GMSL (monthly),GMSL (smoothed)
2008.792,     5.0,     6.0
2008.875,     6.8,     6.1
2008.958,     6.4,     8.2
2009.042,    11.4,     9.4
2009.125,    10.5,     9.6
2009.208,     6.8,     9.3
2009.292,    10.7,     8.9
2009.375,     9.1,    10.3
2009.458,    11.1,     9.8
2009.542,     9.1,     9.1
2009.625,     7.2,     7.2
2009.708,     5.4,     7.3
2009.792,     9.2,     9.0
2009.875,    12.4,    12.4
2009.958,    15.7,    14.9
2010.042,    16.6,    14.8
2010.125,    11.9,    13.5
2010.208,    11.8,    11.8
2010.292,    11.7,    12.2
2010.375,    13.1,    13.0
2010.458,    14.2,    14.2
2010.542,    15.4,    13.4
2010.625,    10.5,    11.2
2010.708,     7.8,     8.0
2010.792,     5.8,     8.3
2010.875,    11.2,     9.7
2010.958,    12.1,    12.4
2011.042,    13.9,    12.5
2011.125,    11.4,    11.9
2011.208,    10.5,     9.6
2011.292,     6.8,     9.1
2011.375,    10.1,     8.7
2011.458,     9.1,    10.5
2011.542,    12.3,     9.5
2011.625,     7.1,     9.8
2011.708,    10.1,     8.5
2011.792,     8.4,    11.3
2011.875,    15.3,    13.1
2011.958,    15.5,    17.0
2012.042,    20.3,    19.7
2012.125,    23.3,    21.2
2012.208,    20.1,    20.9
2012.292,    19.3,    19.5
2012.375,    19.0,    19.7
2012.458,    20.7,    20.5
2012.542,    21.9,    21.6
2012.625,    22.1,    20.7
2012.708,    18.2,    20.2
2012.792,    20.2,    20.7
2012.875,    23.7,    23.9
2012.958,    27.8,    27.2
2013.042,    30.1,    29.2
2013.125,    29.7,    28.4
2013.208,    25.3,    27.6
2013.292,    27.9,    26.1
2013.375,    25.0,    26.3
2013.458,    26.1,    24.6
2013.542,    22.7,    23.8
2013.625,    22.5,    20.8
2013.708,    17.2,    20.0
2013.792,    20.1,    20.0
2013.875,    22.7,    23.8
2013.958,    28.7,    26.4
2014.042,    27.9,    28.3
2014.125,    28.4,    28.0
2014.208,    27.7,    28.2
2014.292,    28.5,    27.6
2014.375,    26.4,    27.2
2014.458,    26.6,    26.6
2014.542,    26.9,    26.5
2014.625,    26.0,    26.3
2014.708,    25.9,    25.5
2014.792,    24.6,    26.7
2014.875,    29.6,    27.9
2014.958,    29.6,    32.1
2015.042,    37.1,    33.5
2015.125,    34.0,    36.1
2015.208,    37.2,    35.2
2015.292,    34.4,    36.4
2015.375,    37.4,    35.6
2015.458,    34.9,    36.9
2015.542,    38.2,    36.0
2015.625,    34.9,    36.5
2015.708,    36.4,    36.2
2015.792,    37.3,    39.0
2015.875,    43.2,    41.5
2015.958,    43.9,    44.3
2016.042,    45.8,    44.7
2016.125,    44.4,    44.5
2016.208,    43.5,    43.5
2016.292,    42.7,    42.4
2016.375,    41.2,    42.4
2016.458,    43.4,    42.6
