
     Year         No. of      Temp.       Std.        95% Conf. Interval
      (AD)        Proxies     Anom.       Error       lower        upper
                             (deg. C)
    431.0000     18.0000      0.0457      0.1364     -0.2272      0.3185
    432.0000     18.0000      0.0483      0.1364     -0.2246      0.3212
    433.0000     18.0000      0.0493      0.1364     -0.2236      0.3222
    434.0000     18.0000      0.0491      0.1364     -0.2237      0.3220
    435.0000     18.0000      0.0502      0.1364     -0.2227      0.3231
    436.0000     18.0000      0.0531      0.1364     -0.2197      0.3260
    437.0000     18.0000      0.0568      0.1364     -0.2161      0.3297
    438.0000     18.0000      0.0608      0.1364     -0.2121      0.3337
    439.0000     18.0000      0.0638      0.1364     -0.2091      0.3367
    440.0000     18.0000      0.0689      0.1364     -0.2040      0.3418
    441.0000     18.0000      0.0739      0.1364     -0.1990      0.3467
    442.0000     18.0000      0.0788      0.1364     -0.1940      0.3517
    443.0000     18.0000      0.0820      0.1364     -0.1909      0.3549
    444.0000     18.0000      0.0852      0.1364     -0.1877      0.3581
    445.0000     18.0000      0.0839      0.1364     -0.1890      0.3568
    446.0000     18.0000      0.0826      0.1364     -0.1903      0.3554
    447.0000     18.0000      0.0801      0.1364     -0.1928      0.3530
    448.0000     18.0000      0.0810      0.1364     -0.1919      0.3539
    449.0000     18.0000      0.0803      0.1364     -0.1925      0.3532
    450.0000     18.0000      0.0796      0.1364     -0.1933      0.3524
    451.0000     18.0000      0.0786      0.1364     -0.1943      0.3515
    452.0000     18.0000      0.0778      0.1364     -0.1950      0.3507
    453.0000     18.0000      0.0764      0.1364     -0.1965      0.3493
    454.0000     18.0000      0.0777      0.1364     -0.1951      0.3506
    455.0000     18.0000      0.0760      0.1364     -0.1969      0.3489
    456.0000     18.0000      0.0737      0.1364     -0.1992      0.3465
    457.0000     18.0000      0.0710      0.1364     -0.2019      0.3438
    458.0000     18.0000      0.0684      0.1364     -0.2045      0.3413
    459.0000     18.0000      0.0659      0.1364     -0.2070      0.3387
    460.0000     18.0000      0.0630      0.1364     -0.2098      0.3359
    461.0000     18.0000      0.0595      0.1364     -0.2134      0.3324
    462.0000     18.0000      0.0563      0.1364     -0.2166      0.3292
    463.0000     18.0000      0.0544      0.1364     -0.2185      0.3272
    464.0000     18.0000      0.0515      0.1364     -0.2214      0.3243
    465.0000     18.0000      0.0472      0.1364     -0.2256      0.3201
    466.0000     18.0000      0.0437      0.1364     -0.2292      0.3166
    467.0000     18.0000      0.0382      0.1364     -0.2347      0.3111
    468.0000     18.0000      0.0336      0.1364     -0.2393      0.3065
    469.0000     18.0000      0.0298      0.1364     -0.2431      0.3027
    470.0000     18.0000      0.0250      0.1364     -0.2479      0.2979
    471.0000     18.0000      0.0204      0.1364     -0.2525      0.2932
    472.0000     18.0000      0.0196      0.1364     -0.2533      0.2925
    473.0000     18.0000      0.0196      0.1364     -0.2533      0.2925
    474.0000     18.0000      0.0219      0.1364     -0.2510      0.2947
    475.0000     18.0000      0.0278      0.1364     -0.2451      0.3006
    476.0000     18.0000      0.0297      0.1364     -0.2431      0.3026
    477.0000     18.0000      0.0310      0.1364     -0.2419      0.3039
    478.0000     18.0000      0.0313      0.1364     -0.2416      0.3042
    479.0000     18.0000      0.0283      0.1364     -0.2445      0.3012
    480.0000     18.0000      0.0256      0.1364     -0.2473      0.2985
    481.0000     18.0000      0.0232      0.1364     -0.2497      0.2961
    482.0000     18.0000      0.0184      0.1364     -0.2545      0.2913
    483.0000     18.0000      0.0127      0.1364     -0.2602      0.2856
    484.0000     18.0000      0.0097      0.1364     -0.2632      0.2826
    485.0000     18.0000      0.0072      0.1364     -0.2657      0.2801
    486.0000     18.0000      0.0061      0.1364     -0.2668      0.2789
    487.0000     18.0000      0.0048      0.1364     -0.2680      0.2777
    488.0000     18.0000      0.0075      0.1364     -0.2654      0.2804
    489.0000     18.0000      0.0096      0.1364     -0.2633      0.2825
    490.0000     18.0000      0.0131      0.1364     -0.2598      0.2860
    491.0000     18.0000      0.0190      0.1364     -0.2538      0.2919
    492.0000     18.0000      0.0239      0.1364     -0.2490      0.2968
    493.0000     18.0000      0.0267      0.1364     -0.2462      0.2996
    494.0000     18.0000      0.0310      0.1364     -0.2418      0.3039
    495.0000     18.0000      0.0340      0.1364     -0.2389      0.3069
    496.0000     18.0000      0.0375      0.1364     -0.2354      0.3104
    497.0000     18.0000      0.0410      0.1364     -0.2319      0.3139
    498.0000     18.0000      0.0420      0.1364     -0.2308      0.3149
    499.0000     18.0000      0.0405      0.1364     -0.2324      0.3134
    500.0000     18.0000      0.0384      0.1364     -0.2345      0.3113
    501.0000     18.0000      0.0330      0.1364     -0.2399      0.3059
    502.0000     18.0000      0.0288      0.1364     -0.2441      0.3017
    503.0000     18.0000      0.0236      0.1364     -0.2493      0.2965
    504.0000     18.0000      0.0165      0.1364     -0.2563      0.2894
    505.0000     18.0000      0.0148      0.1364     -0.2581      0.2877
    506.0000     18.0000      0.0127      0.1364     -0.2602      0.2856
    507.0000     18.0000      0.0113      0.1364     -0.2616      0.2842
    508.0000     18.0000      0.0150      0.1364     -0.2578      0.2879
    509.0000     18.0000      0.0165      0.1364     -0.2564      0.2893
    510.0000     18.0000      0.0218      0.1364     -0.2510      0.2947
    511.0000     18.0000      0.0291      0.1364     -0.2438      0.3020
    512.0000     18.0000      0.0371      0.1364     -0.2358      0.3100
    513.0000     18.0000      0.0470      0.1364     -0.2259      0.3198
    514.0000     18.0000      0.0563      0.1364     -0.2166      0.3292
    515.0000     18.0000      0.0661      0.1364     -0.2067      0.3390
    516.0000     18.0000      0.0770      0.1364     -0.1959      0.3499
    517.0000     18.0000      0.0823      0.1364     -0.1906      0.3552
    518.0000     18.0000      0.0874      0.1364     -0.1854      0.3603
    519.0000     18.0000      0.0914      0.1364     -0.1815      0.3643
    520.0000     18.0000      0.0918      0.1364     -0.1810      0.3647
    521.0000     18.0000      0.0897      0.1364     -0.1831      0.3626
    522.0000     18.0000      0.0897      0.1364     -0.1832      0.3626
    523.0000     18.0000      0.0873      0.1364     -0.1856      0.3602
    524.0000     18.0000      0.0805      0.1364     -0.1924      0.3533
    525.0000     18.0000      0.0779      0.1364     -0.1949      0.3508
    526.0000     18.0000      0.0746      0.1364     -0.1983      0.3475
    527.0000     18.0000      0.0748      0.1364     -0.1981      0.3477
    528.0000     18.0000      0.0769      0.1364     -0.1960      0.3498
    529.0000     18.0000      0.0785      0.1364     -0.1944      0.3514
    530.0000     18.0000      0.0831      0.1364     -0.1898      0.3560
    531.0000     18.0000      0.0851      0.1364     -0.1878      0.3580
    532.0000     18.0000      0.0907      0.1364     -0.1822      0.3636
    533.0000     18.0000      0.0965      0.1364     -0.1764      0.3694
    534.0000     18.0000      0.1034      0.1364     -0.1695      0.3763
    535.0000     18.0000      0.1093      0.1364     -0.1636      0.3822
    536.0000     18.0000      0.1173      0.1364     -0.1555      0.3902
    537.0000     18.0000      0.1234      0.1364     -0.1495      0.3963
    538.0000     18.0000      0.1327      0.1364     -0.1402      0.4056
    539.0000     18.0000      0.1405      0.1364     -0.1324      0.4134
    540.0000     18.0000      0.1481      0.1364     -0.1248      0.4210
    541.0000     18.0000      0.1548      0.1364     -0.1181      0.4277
    542.0000     18.0000      0.1581      0.1364     -0.1148      0.4309
    543.0000     18.0000      0.1601      0.1364     -0.1127      0.4330
    544.0000     18.0000      0.1598      0.1364     -0.1131      0.4326
    545.0000     18.0000      0.1586      0.1364     -0.1143      0.4315
    546.0000     18.0000      0.1578      0.1364     -0.1151      0.4307
    547.0000     18.0000      0.1565      0.1364     -0.1164      0.4294
    548.0000     18.0000      0.1550      0.1364     -0.1179      0.4279
    549.0000     18.0000      0.1543      0.1364     -0.1186      0.4272
    550.0000     18.0000      0.1587      0.1364     -0.1142      0.4316
    551.0000     18.0000      0.1613      0.1364     -0.1116      0.4341
    552.0000     18.0000      0.1656      0.1364     -0.1072      0.4385
    553.0000     18.0000      0.1753      0.1364     -0.0976      0.4482
    554.0000     18.0000      0.1822      0.1364     -0.0907      0.4551
    555.0000     18.0000      0.1877      0.1364     -0.0852      0.4606
    556.0000     18.0000      0.1904      0.1364     -0.0825      0.4633
    557.0000     18.0000      0.1944      0.1364     -0.0785      0.4673
    558.0000     18.0000      0.1989      0.1364     -0.0740      0.4718
    559.0000     18.0000      0.2002      0.1364     -0.0727      0.4731
    560.0000     18.0000      0.2047      0.1364     -0.0682      0.4775
    561.0000     18.0000      0.2063      0.1364     -0.0665      0.4792
    562.0000     18.0000      0.2078      0.1364     -0.0650      0.4807
    563.0000     18.0000      0.2081      0.1364     -0.0648      0.4810
    564.0000     18.0000      0.2089      0.1364     -0.0639      0.4818
    565.0000     18.0000      0.2083      0.1364     -0.0646      0.4812
    566.0000     18.0000      0.2069      0.1364     -0.0660      0.4798
    567.0000     18.0000      0.2058      0.1364     -0.0671      0.4787
    568.0000     18.0000      0.2065      0.1364     -0.0664      0.4794
    569.0000     18.0000      0.2079      0.1364     -0.0650      0.4808
    570.0000     18.0000      0.2074      0.1364     -0.0655      0.4803
    571.0000     18.0000      0.2102      0.1364     -0.0627      0.4831
    572.0000     18.0000      0.2142      0.1364     -0.0587      0.4871
    573.0000     18.0000      0.2177      0.1364     -0.0552      0.4906
    574.0000     18.0000      0.2201      0.1364     -0.0528      0.4930
    575.0000     18.0000      0.2241      0.1364     -0.0488      0.4970
    576.0000     18.0000      0.2290      0.1364     -0.0439      0.5019
    577.0000     18.0000      0.2347      0.1364     -0.0381      0.5076
    578.0000     18.0000      0.2394      0.1364     -0.0335      0.5123
    579.0000     18.0000      0.2410      0.1364     -0.0318      0.5139
    580.0000     18.0000      0.2439      0.1364     -0.0290      0.5167
    581.0000     18.0000      0.2455      0.1364     -0.0274      0.5184
    582.0000     18.0000      0.2470      0.1364     -0.0258      0.5199
    583.0000     18.0000      0.2487      0.1364     -0.0242      0.5216
    584.0000     18.0000      0.2508      0.1364     -0.0221      0.5236
    585.0000     18.0000      0.2539      0.1364     -0.0190      0.5268
    586.0000     18.0000      0.2577      0.1364     -0.0152      0.5306
    587.0000     18.0000      0.2615      0.1364     -0.0114      0.5344
    588.0000     18.0000      0.2650      0.1364     -0.0079      0.5379
    589.0000     18.0000      0.2689      0.1364     -0.0040      0.5418
    590.0000     18.0000      0.2725      0.1364     -0.0004      0.5454
    591.0000     18.0000      0.2782      0.1364      0.0053      0.5511
    592.0000     18.0000      0.2854      0.1364      0.0126      0.5583
    593.0000     18.0000      0.2922      0.1364      0.0193      0.5650
    594.0000     18.0000      0.2951      0.1364      0.0222      0.5680
    595.0000     18.0000      0.3000      0.1364      0.0271      0.5728
    596.0000     18.0000      0.3050      0.1364      0.0321      0.5779
    597.0000     18.0000      0.3043      0.1364      0.0314      0.5772
    598.0000     18.0000      0.3032      0.1364      0.0303      0.5761
    599.0000     18.0000      0.3026      0.1364      0.0297      0.5755
    600.0000     18.0000      0.3007      0.1364      0.0278      0.5736
    601.0000     18.0000      0.2986      0.1364      0.0257      0.5715
    602.0000     18.0000      0.2975      0.1364      0.0246      0.5704
    603.0000     18.0000      0.2965      0.1364      0.0236      0.5694
    604.0000     18.0000      0.2945      0.1364      0.0216      0.5674
    605.0000     18.0000      0.2921      0.1364      0.0193      0.5650
    606.0000     18.0000      0.2885      0.1364      0.0156      0.5614
    607.0000     18.0000      0.2889      0.1364      0.0160      0.5618
    608.0000     18.0000      0.2914      0.1364      0.0185      0.5643
    609.0000     18.0000      0.2954      0.1364      0.0225      0.5683
    610.0000     18.0000      0.3007      0.1364      0.0278      0.5736
    611.0000     18.0000      0.3067      0.1364      0.0338      0.5796
    612.0000     18.0000      0.3145      0.1364      0.0416      0.5874
    613.0000     18.0000      0.3246      0.1364      0.0517      0.5975
    614.0000     18.0000      0.3368      0.1364      0.0639      0.6097
    615.0000     18.0000      0.3466      0.1364      0.0737      0.6194
    616.0000     18.0000      0.3558      0.1364      0.0829      0.6287
    617.0000     18.0000      0.3634      0.1364      0.0906      0.6363
    618.0000     18.0000      0.3661      0.1364      0.0932      0.6390
    619.0000     18.0000      0.3642      0.1364      0.0913      0.6371
    620.0000     18.0000      0.3612      0.1364      0.0883      0.6341
    621.0000     18.0000      0.3533      0.1364      0.0804      0.6262
    622.0000     18.0000      0.3441      0.1364      0.0712      0.6169
    623.0000     18.0000      0.3374      0.1364      0.0645      0.6103
    624.0000     18.0000      0.3304      0.1364      0.0575      0.6033
    625.0000     18.0000      0.3230      0.1364      0.0501      0.5958
    626.0000     18.0000      0.3186      0.1364      0.0457      0.5915
    627.0000     18.0000      0.3153      0.1364      0.0424      0.5882
    628.0000     18.0000      0.3118      0.1364      0.0389      0.5847
    629.0000     18.0000      0.3081      0.1364      0.0352      0.5810
    630.0000     18.0000      0.3032      0.1364      0.0304      0.5761
    631.0000     18.0000      0.2993      0.1364      0.0264      0.5721
    632.0000     18.0000      0.2957      0.1364      0.0228      0.5686
    633.0000     18.0000      0.2945      0.1364      0.0217      0.5674
    634.0000     18.0000      0.2954      0.1364      0.0225      0.5683
    635.0000     18.0000      0.2955      0.1364      0.0227      0.5684
    636.0000     18.0000      0.2921      0.1364      0.0192      0.5650
    637.0000     18.0000      0.2882      0.1364      0.0154      0.5611
    638.0000     18.0000      0.2832      0.1364      0.0103      0.5561
    639.0000     18.0000      0.2777      0.1364      0.0048      0.5505
    640.0000     18.0000      0.2711      0.1364     -0.0018      0.5439
    641.0000     18.0000      0.2608      0.1364     -0.0120      0.5337
    642.0000     18.0000      0.2462      0.1364     -0.0267      0.5191
    643.0000     18.0000      0.2290      0.1364     -0.0439      0.5019
    644.0000     18.0000      0.2133      0.1364     -0.0596      0.4861
    645.0000     18.0000      0.1959      0.1364     -0.0769      0.4688
    646.0000     18.0000      0.1840      0.1364     -0.0889      0.4568
    647.0000     18.0000      0.1753      0.1364     -0.0976      0.4482
    648.0000     18.0000      0.1713      0.1364     -0.1016      0.4442
    649.0000     18.0000      0.1667      0.1364     -0.1062      0.4396
    650.0000     18.0000      0.1681      0.1364     -0.1048      0.4410
    651.0000     18.0000      0.1731      0.1364     -0.0998      0.4460
    652.0000     18.0000      0.1807      0.1364     -0.0921      0.4536
    653.0000     18.0000      0.1881      0.1364     -0.0848      0.4610
    654.0000     18.0000      0.1959      0.1364     -0.0770      0.4688
    655.0000     18.0000      0.2052      0.1364     -0.0676      0.4781
    656.0000     18.0000      0.2122      0.1364     -0.0607      0.4851
    657.0000     18.0000      0.2202      0.1364     -0.0527      0.4931
    658.0000     18.0000      0.2262      0.1364     -0.0466      0.4991
    659.0000     18.0000      0.2316      0.1364     -0.0413      0.5045
    660.0000     18.0000      0.2353      0.1364     -0.0376      0.5082
    661.0000     18.0000      0.2391      0.1364     -0.0338      0.5119
    662.0000     18.0000      0.2402      0.1364     -0.0326      0.5131
    663.0000     18.0000      0.2405      0.1364     -0.0323      0.5134
    664.0000     18.0000      0.2425      0.1364     -0.0304      0.5154
    665.0000     18.0000      0.2458      0.1364     -0.0271      0.5187
    666.0000     18.0000      0.2495      0.1364     -0.0234      0.5224
    667.0000     18.0000      0.2513      0.1364     -0.0216      0.5242
    668.0000     18.0000      0.2536      0.1364     -0.0193      0.5265
    669.0000     18.0000      0.2551      0.1364     -0.0178      0.5280
    670.0000     18.0000      0.2608      0.1364     -0.0121      0.5337
    671.0000     18.0000      0.2658      0.1364     -0.0071      0.5387
    672.0000     18.0000      0.2735      0.1364      0.0007      0.5464
    673.0000     18.0000      0.2802      0.1364      0.0073      0.5531
    674.0000     18.0000      0.2901      0.1364      0.0172      0.5629
    675.0000     18.0000      0.2976      0.1364      0.0247      0.5705
    676.0000     18.0000      0.3047      0.1364      0.0318      0.5776
    677.0000     18.0000      0.3130      0.1364      0.0401      0.5859
    678.0000     18.0000      0.3227      0.1364      0.0499      0.5956
    679.0000     18.0000      0.3309      0.1364      0.0580      0.6038
    680.0000     18.0000      0.3366      0.1364      0.0637      0.6095
    681.0000     18.0000      0.3362      0.1364      0.0633      0.6091
    682.0000     18.0000      0.3339      0.1364      0.0610      0.6068
    683.0000     18.0000      0.3297      0.1364      0.0568      0.6026
    684.0000     18.0000      0.3207      0.1364      0.0478      0.5936
    685.0000     18.0000      0.3111      0.1364      0.0383      0.5840
    686.0000     18.0000      0.2998      0.1364      0.0269      0.5727
    687.0000     18.0000      0.2875      0.1364      0.0146      0.5604
    688.0000     18.0000      0.2741      0.1364      0.0012      0.5470
    689.0000     18.0000      0.2627      0.1364     -0.0102      0.5356
    690.0000     18.0000      0.2539      0.1364     -0.0189      0.5268
    691.0000     18.0000      0.2452      0.1364     -0.0277      0.5181
    692.0000     18.0000      0.2383      0.1364     -0.0346      0.5112
    693.0000     18.0000      0.2313      0.1364     -0.0416      0.5042
    694.0000     18.0000      0.2251      0.1364     -0.0478      0.4979
    695.0000     18.0000      0.2194      0.1364     -0.0535      0.4922
    696.0000     18.0000      0.2167      0.1364     -0.0561      0.4896
    697.0000     18.0000      0.2137      0.1364     -0.0592      0.4865
    698.0000     18.0000      0.2130      0.1364     -0.0599      0.4859
    699.0000     18.0000      0.2119      0.1364     -0.0610      0.4847
    700.0000     18.0000      0.2136      0.1364     -0.0593      0.4865
    701.0000     18.0000      0.2136      0.1364     -0.0593      0.4865
    702.0000     18.0000      0.2183      0.1364     -0.0546      0.4912
    703.0000     18.0000      0.2213      0.1364     -0.0516      0.4942
    704.0000     18.0000      0.2265      0.1364     -0.0464      0.4994
    705.0000     18.0000      0.2245      0.1364     -0.0484      0.4974
    706.0000     18.0000      0.2262      0.1364     -0.0467      0.4990
    707.0000     18.0000      0.2227      0.1364     -0.0502      0.4956
    708.0000     18.0000      0.2168      0.1364     -0.0561      0.4896
    709.0000     18.0000      0.2110      0.1364     -0.0619      0.4839
    710.0000     18.0000      0.2090      0.1364     -0.0639      0.4819
    711.0000     18.0000      0.2061      0.1364     -0.0668      0.4790
    712.0000     18.0000      0.2037      0.1364     -0.0692      0.4765
    713.0000     18.0000      0.2039      0.1364     -0.0690      0.4768
    714.0000     18.0000      0.2063      0.1364     -0.0666      0.4792
    715.0000     18.0000      0.2112      0.1364     -0.0617      0.4841
    716.0000     18.0000      0.2202      0.1364     -0.0527      0.4931
    717.0000     18.0000      0.2305      0.1364     -0.0424      0.5034
    718.0000     18.0000      0.2407      0.1364     -0.0322      0.5136
    719.0000     18.0000      0.2479      0.1364     -0.0250      0.5208
    720.0000     18.0000      0.2572      0.1364     -0.0157      0.5301
    721.0000     18.0000      0.2644      0.1364     -0.0085      0.5373
    722.0000     18.0000      0.2727      0.1364     -0.0002      0.5455
    723.0000     18.0000      0.2804      0.1364      0.0075      0.5533
    724.0000     18.0000      0.2870      0.1364      0.0141      0.5599
    725.0000     18.0000      0.2896      0.1364      0.0167      0.5625
    726.0000     18.0000      0.2934      0.1364      0.0205      0.5663
    727.0000     18.0000      0.2970      0.1364      0.0241      0.5699
    728.0000     18.0000      0.2969      0.1364      0.0240      0.5698
    729.0000     18.0000      0.2955      0.1364      0.0226      0.5684
    730.0000     18.0000      0.2934      0.1364      0.0205      0.5663
    731.0000     18.0000      0.2857      0.1364      0.0128      0.5586
    732.0000     18.0000      0.2804      0.1364      0.0075      0.5533
    733.0000     18.0000      0.2732      0.1364      0.0003      0.5461
    734.0000     18.0000      0.2642      0.1364     -0.0086      0.5371
    735.0000     18.0000      0.2578      0.1364     -0.0151      0.5307
    736.0000     18.0000      0.2534      0.1364     -0.0195      0.5263
    737.0000     18.0000      0.2504      0.1364     -0.0224      0.5233
    738.0000     18.0000      0.2471      0.1364     -0.0258      0.5200
    739.0000     18.0000      0.2428      0.1364     -0.0301      0.5157
    740.0000     18.0000      0.2398      0.1364     -0.0331      0.5127
    741.0000     18.0000      0.2367      0.1364     -0.0362      0.5096
    742.0000     18.0000      0.2332      0.1364     -0.0397      0.5060
    743.0000     18.0000      0.2270      0.1364     -0.0458      0.4999
    744.0000     18.0000      0.2216      0.1364     -0.0513      0.4944
    745.0000     18.0000      0.2139      0.1364     -0.0590      0.4867
    746.0000     18.0000      0.2053      0.1364     -0.0676      0.4782
    747.0000     18.0000      0.1966      0.1364     -0.0763      0.4695
    748.0000     18.0000      0.1910      0.1364     -0.0818      0.4639
    749.0000     18.0000      0.1856      0.1364     -0.0873      0.4585
    750.0000     18.0000      0.1816      0.1364     -0.0912      0.4545
    751.0000     18.0000      0.1765      0.1364     -0.0964      0.4494
    752.0000     18.0000      0.1703      0.1364     -0.1026      0.4432
    753.0000     18.0000      0.1645      0.1364     -0.1084      0.4374
    754.0000     18.0000      0.1604      0.1364     -0.1125      0.4333
    755.0000     18.0000      0.1573      0.1364     -0.1156      0.4302
    756.0000     18.0000      0.1526      0.1364     -0.1203      0.4255
    757.0000     18.0000      0.1493      0.1364     -0.1236      0.4222
    758.0000     18.0000      0.1460      0.1364     -0.1269      0.4189
    759.0000     18.0000      0.1414      0.1364     -0.1314      0.4143
    760.0000     18.0000      0.1409      0.1364     -0.1320      0.4138
    761.0000     18.0000      0.1383      0.1364     -0.1346      0.4112
    762.0000     18.0000      0.1361      0.1364     -0.1368      0.4090
    763.0000     18.0000      0.1355      0.1364     -0.1374      0.4084
    764.0000     18.0000      0.1349      0.1364     -0.1379      0.4078
    765.0000     18.0000      0.1315      0.1364     -0.1414      0.4044
    766.0000     18.0000      0.1327      0.1364     -0.1401      0.4056
    767.0000     18.0000      0.1348      0.1364     -0.1381      0.4077
    768.0000     18.0000      0.1388      0.1364     -0.1340      0.4117
    769.0000     18.0000      0.1391      0.1364     -0.1338      0.4120
    770.0000     18.0000      0.1401      0.1364     -0.1328      0.4130
    771.0000     18.0000      0.1441      0.1364     -0.1287      0.4170
    772.0000     18.0000      0.1517      0.1364     -0.1212      0.4246
    773.0000     18.0000      0.1571      0.1364     -0.1158      0.4300
    774.0000     18.0000      0.1646      0.1364     -0.1083      0.4375
    775.0000     18.0000      0.1741      0.1364     -0.0988      0.4469
    776.0000     18.0000      0.1841      0.1364     -0.0888      0.4570
    777.0000     18.0000      0.1909      0.1364     -0.0820      0.4638
    778.0000     18.0000      0.1966      0.1364     -0.0763      0.4695
    779.0000     18.0000      0.2012      0.1364     -0.0717      0.4741
    780.0000     18.0000      0.2038      0.1364     -0.0691      0.4766
    781.0000     18.0000      0.2064      0.1364     -0.0664      0.4793
    782.0000     18.0000      0.2077      0.1364     -0.0652      0.4806
    783.0000     18.0000      0.2117      0.1364     -0.0612      0.4846
    784.0000     18.0000      0.2087      0.1364     -0.0641      0.4816
    785.0000     18.0000      0.2060      0.1364     -0.0669      0.4789
    786.0000     18.0000      0.2017      0.1364     -0.0712      0.4746
    787.0000     18.0000      0.1977      0.1364     -0.0752      0.4706
    788.0000     18.0000      0.1962      0.1364     -0.0767      0.4691
    789.0000     18.0000      0.1934      0.1364     -0.0795      0.4662
    790.0000     18.0000      0.1913      0.1364     -0.0816      0.4642
    791.0000     18.0000      0.1879      0.1364     -0.0850      0.4608
    792.0000     18.0000      0.1857      0.1364     -0.0872      0.4586
    793.0000     18.0000      0.1826      0.1364     -0.0903      0.4555
    794.0000     18.0000      0.1850      0.1364     -0.0878      0.4579
    795.0000     18.0000      0.1807      0.1364     -0.0922      0.4536
    796.0000     18.0000      0.1781      0.1364     -0.0948      0.4510
    797.0000     18.0000      0.1748      0.1364     -0.0981      0.4477
    798.0000     18.0000      0.1776      0.1364     -0.0953      0.4505
    799.0000     18.0000      0.1793      0.1364     -0.0936      0.4522
    800.0000     18.0000      0.1789      0.1364     -0.0940      0.4518
    801.0000     18.0000      0.1796      0.1364     -0.0933      0.4524
    802.0000     18.0000      0.1804      0.1364     -0.0925      0.4533
    803.0000     18.0000      0.1818      0.1364     -0.0911      0.4547
    804.0000     18.0000      0.1841      0.1364     -0.0887      0.4570
    805.0000     18.0000      0.1897      0.1364     -0.0832      0.4626
    806.0000     18.0000      0.1923      0.1364     -0.0806      0.4652
    807.0000     18.0000      0.1938      0.1364     -0.0791      0.4667
    808.0000     18.0000      0.1973      0.1364     -0.0756      0.4702
    809.0000     18.0000      0.2036      0.1364     -0.0693      0.4765
    810.0000     18.0000      0.2115      0.1364     -0.0614      0.4844
    811.0000     18.0000      0.2198      0.1364     -0.0531      0.4927
    812.0000     18.0000      0.2264      0.1364     -0.0465      0.4993
    813.0000     18.0000      0.2373      0.1364     -0.0356      0.5101
    814.0000     18.0000      0.2455      0.1364     -0.0274      0.5184
    815.0000     18.0000      0.2578      0.1364     -0.0151      0.5307
    816.0000     18.0000      0.2712      0.1364     -0.0017      0.5441
    817.0000     18.0000      0.2807      0.1364      0.0078      0.5535
    818.0000     18.0000      0.2918      0.1364      0.0189      0.5647
    819.0000     18.0000      0.3023      0.1364      0.0294      0.5752
    820.0000     18.0000      0.3128      0.1364      0.0399      0.5857
    821.0000     18.0000      0.3203      0.1364      0.0474      0.5932
    822.0000     18.0000      0.3285      0.1364      0.0557      0.6014
    823.0000     18.0000      0.3338      0.1364      0.0609      0.6066
    824.0000     18.0000      0.3386      0.1364      0.0657      0.6115
    825.0000     18.0000      0.3411      0.1364      0.0682      0.6140
    826.0000     18.0000      0.3436      0.1364      0.0707      0.6165
    827.0000     18.0000      0.3446      0.1364      0.0718      0.6175
    828.0000     18.0000      0.3455      0.1364      0.0726      0.6184
    829.0000     18.0000      0.3523      0.1364      0.0794      0.6252
    830.0000     18.0000      0.3573      0.1364      0.0845      0.6302
    831.0000     18.0000      0.3644      0.1364      0.0915      0.6373
    832.0000     18.0000      0.3723      0.1364      0.0994      0.6452
    833.0000     18.0000      0.3807      0.1364      0.1078      0.6535
    834.0000     18.0000      0.3908      0.1364      0.1179      0.6637
    835.0000     18.0000      0.4014      0.1364      0.1285      0.6743
    836.0000     18.0000      0.4157      0.1364      0.1428      0.6886
    837.0000     18.0000      0.4293      0.1364      0.1564      0.7022
    838.0000     18.0000      0.4407      0.1364      0.1678      0.7136
    839.0000     18.0000      0.4498      0.1364      0.1769      0.7227
    840.0000     18.0000      0.4588      0.1364      0.1860      0.7317
    841.0000     18.0000      0.4683      0.1364      0.1954      0.7412
    842.0000     18.0000      0.4798      0.1364      0.2069      0.7527
    843.0000     18.0000      0.4911      0.1364      0.2182      0.7640
    844.0000     18.0000      0.5020      0.1364      0.2291      0.7749
    845.0000     18.0000      0.5103      0.1364      0.2374      0.7832
    846.0000     18.0000      0.5190      0.1364      0.2462      0.7919
    847.0000     18.0000      0.5227      0.1364      0.2498      0.7956
    848.0000     18.0000      0.5258      0.1364      0.2529      0.7986
    849.0000     18.0000      0.5247      0.1364      0.2518      0.7976
    850.0000     18.0000      0.5278      0.1364      0.2549      0.8007
    851.0000     18.0000      0.5314      0.1364      0.2585      0.8043
    852.0000     18.0000      0.5341      0.1364      0.2612      0.8070
    853.0000     18.0000      0.5377      0.1364      0.2648      0.8106
    854.0000     18.0000      0.5428      0.1364      0.2699      0.8157
    855.0000     18.0000      0.5470      0.1364      0.2741      0.8199
    856.0000     18.0000      0.5518      0.1364      0.2789      0.8247
    857.0000     18.0000      0.5579      0.1364      0.2850      0.8308
    858.0000     18.0000      0.5580      0.1364      0.2851      0.8309
    859.0000     18.0000      0.5576      0.1364      0.2848      0.8305
    860.0000     18.0000      0.5555      0.1364      0.2827      0.8284
    861.0000     18.0000      0.5493      0.1364      0.2764      0.8222
    862.0000     18.0000      0.5440      0.1364      0.2712      0.8169
    863.0000     18.0000      0.5347      0.1364      0.2618      0.8076
    864.0000     18.0000      0.5233      0.1364      0.2504      0.7961
    865.0000     18.0000      0.5114      0.1364      0.2385      0.7843
    866.0000     18.0000      0.4990      0.1364      0.2261      0.7719
    867.0000     18.0000      0.4835      0.1364      0.2106      0.7564
    868.0000     18.0000      0.4680      0.1364      0.1951      0.7409
    869.0000     18.0000      0.4546      0.1364      0.1818      0.7275
