"year","month","yr_part","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) Global","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) NH","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) SH"
2005,6,2005.45833333333,0.0048,0.0047,0.0057
2005,7,2005.54166666667,0.0047,0.0045,0.0055
2005,8,2005.625,0.0052,0.005,0.0061
2005,9,2005.70833333333,0.005,0.0049,0.0053
2005,10,2005.79166666667,0.0049,0.0055,0.0043
2005,11,2005.875,0.005,0.006,0.0044
2005,12,2005.95833333333,0.0046,0.0056,0.0043
2006,1,2006.04166666667,0.0043,0.0053,0.0042
2006,2,2006.125,0.0042,0.0046,0.0041
2006,3,2006.20833333333,0.004,0.0036,0.0048
2006,4,2006.29166666667,0.004,0.0036,0.0053
2006,5,2006.375,0.0036,0.0034,0.0045
2006,6,2006.45833333333,0.0043,0.0039,0.0051
2006,7,2006.54166666667,0.0049,0.0047,0.0057
2006,8,2006.625,0.0054,0.0053,0.0059
2006,9,2006.70833333333,0.005,0.0053,0.0047
2006,10,2006.79166666667,0.005,0.0059,0.0042
2006,11,2006.875,0.0056,0.0076,0.0046
2006,12,2006.95833333333,0.0068,0.0099,0.0062
2007,1,2007.04166666667,0.0068,0.0087,0.0066
2007,2,2007.125,0.0063,0.007,0.0061
2007,3,2007.20833333333,0.0058,0.0055,0.0062
2007,4,2007.29166666667,0.006,0.0058,0.0064
2007,5,2007.375,0.0056,0.0054,0.0059
2007,6,2007.45833333333,0.0056,0.0055,0.006
2007,7,2007.54166666667,0.0057,0.0056,0.0059
2007,8,2007.625,0.0056,0.0056,0.0056
2007,9,2007.70833333333,0.0053,0.0055,0.005
2007,10,2007.79166666667,0.0049,0.0058,0.004
2007,11,2007.875,0.0053,0.0063,0.0046
2007,12,2007.95833333333,0.005,0.0057,0.0048
2008,1,2008.04166666667,0.0047,0.0049,0.0047
2008,2,2008.125,0.0045,0.0044,0.0045
2008,3,2008.20833333333,0.004,0.0035,0.0047
2008,4,2008.29166666667,0.0039,0.0036,0.0048
2008,5,2008.375,0.0036,0.0033,0.0045
2008,6,2008.45833333333,0.0038,0.0037,0.0043
2008,7,2008.54166666667,0.004,0.0039,0.0045
2008,8,2008.625,0.0043,0.0043,0.0044
2008,9,2008.70833333333,0.0052,0.0061,0.0043
2008,10,2008.79166666667,0.0053,0.0071,0.0037
2008,11,2008.875,0.0058,0.0081,0.0043
2008,12,2008.95833333333,0.0058,0.0082,0.0049
2009,1,2009.04166666667,0.0054,0.007,0.0049
2009,2,2009.125,0.0054,0.0059,0.0052
2009,3,2009.20833333333,0.0055,0.005,0.0061
2009,4,2009.29166666667,0.005,0.0047,0.0058
2009,5,2009.375,0.0048,0.0046,0.0053
2009,6,2009.45833333333,0.0048,0.0048,0.005
2009,7,2009.54166666667,0.0069,0.0076,0.0051
2009,8,2009.625,0.0084,0.0102,0.0053
2009,9,2009.70833333333,0.0076,0.0101,0.0045
2009,10,2009.79166666667,0.0065,0.009,0.0042
2009,11,2009.875,0.0062,0.0086,0.0047
2009,12,2009.95833333333,0.0054,0.0065,0.005
2010,1,2010.04166666667,0.005,0.0056,0.0048
2010,2,2010.125,0.0049,0.0052,0.0047
2010,3,2010.20833333333,0.0044,0.0044,0.0044
2010,4,2010.29166666667,0.0046,0.0046,0.0048
2010,5,2010.375,0.0045,0.0045,0.0044
2010,6,2010.45833333333,0.0047,0.0048,0.0044
2010,7,2010.54166666667,0.0048,0.005,0.0045
2010,8,2010.625,0.0048,0.005,0.0044
2010,9,2010.70833333333,0.0044,0.0048,0.0038
2010,10,2010.79166666667,0.004,0.0049,0.003
2010,11,2010.875,0.0047,0.0057,0.0041
2010,12,2010.95833333333,0.0072,0.0082,0.0068
2011,1,2011.04166666667,0.007,0.0081,0.0067
2011,2,2011.125,0.006,0.0063,0.0059
2011,3,2011.20833333333,0.0046,0.0039,0.0058
2011,4,2011.29166666667,0.0045,0.004,0.0057
2011,5,2011.375,0.0045,0.0042,0.0055
2011,6,2011.45833333333,0.0045,0.0044,0.0051
2011,7,2011.54166666667,0.0079,0.0085,0.0062
2011,8,2011.625,0.01,0.0113,0.0068
2011,9,2011.70833333333,0.0084,0.0106,0.0054
2011,10,2011.79166666667,0.0073,0.0103,0.0049
2011,11,2011.875,0.0073,0.0114,0.0056
2011,12,2011.95833333333,0.0068,0.0096,0.0061
2012,1,2012.04166666667,0.0064,0.0087,0.0058
2012,2,2012.125,0.005,0.0061,0.0047
2012,3,2012.20833333333,0.0048,0.0047,0.0049
2012,4,2012.29166666667,0.0056,0.0056,0.0059
2012,5,2012.375,0.0052,0.0051,0.0056
2012,6,2012.45833333333,0.0048,0.0049,0.0048
2012,7,2012.54166666667,0.0048,0.0049,0.0046
2012,8,2012.625,0.0048,0.0049,0.0045
2012,9,2012.70833333333,0.0044,0.0048,0.004
2012,10,2012.79166666667,0.0045,0.0051,0.004
2012,11,2012.875,0.0051,0.0059,0.0048
2012,12,2012.95833333333,0.0049,0.0054,0.0048
2013,1,2013.04166666667,0.0053,0.0063,0.0051
2013,2,2013.125,0.0046,0.0049,0.0046
2013,3,2013.20833333333,0.004,0.0033,0.0061
2013,4,2013.29166666667,0.0039,0.0034,0.006
2013,5,2013.375,0.0035,0.0033,0.005
2013,6,2013.45833333333,0.0029,0.0028,0.0045
2013,7,2013.54166666667,0.0038,0.0037,0.0042
2013,8,2013.625,0.004,0.004,0.0043
2013,9,2013.70833333333,0.004,0.0041,0.0039
2013,10,2013.79166666667,0.0044,0.0051,0.0039
2013,11,2013.875,0.0051,0.0062,0.0046
2013,12,2013.95833333333,0.006,0.0079,0.0054
2014,1,2014.04166666667,0.0052,0.0077,0.0048
2014,2,2014.125,0.0051,0.0058,0.0052
2014,3,2014.20833333333,0.0054,0.0042,0.0092
2014,4,2014.29166666667,0.0064,0.0052,0.0128
2014,5,2014.375,0.0067,0.0058,0.0118
2014,6,2014.45833333333,0.0051,0.0047,0.0097
2014,7,2014.54166666667,0.0056,0.0053,0.0083
2014,8,2014.625,0.0061,0.0056,0.0082
2014,9,2014.70833333333,0.0061,0.0057,0.0066
2014,10,2014.79166666667,0.0062,0.0068,0.0059
2014,11,2014.875,0.0059,0.0066,0.0056
2014,12,2014.95833333333,0.0073,0.0078,0.0068
2015,1,2015.04166666667,0.0063,0.0085,0.006
2015,2,2015.125,0.0068,0.0085,0.007
2015,3,2015.20833333333,0.0059,0.0049,0.0082
2015,4,2015.29166666667,0.0058,0.0051,0.0095
2015,5,2015.375,0.0057,0.0053,0.0099
2015,6,2015.45833333333,0.0059,0.0058,0.0072
2015,7,2015.54166666667,0.007,0.0071,0.0068
2015,8,2015.625,0.0077,0.0071,0.0088
2015,9,2015.70833333333,0.01,0.0089,0.0104
2015,10,2015.79166666667,0.0093,0.0121,0.0091
2015,11,2015.875,0.009,0.0092,0.0092
2015,12,2015.95833333333,0.0089,0.0102,0.0087
2016,1,2016.04166666667,0.009,0.0099,0.0091
2016,2,2016.125,0.0095,0.0102,0.0094
2016,3,2016.20833333333,0.0066,0.0052,0.0111
2016,4,2016.29166666667,0.0077,0.0068,0.0112
2016,5,2016.375,0.011,0.0069,0.0322
2016,6,2016.45833333333,0.007,0.0065,0.009
