"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023","m0024","m0025","m0026","m0027","m0028","m0029","m0030","m0031","m0032","m0033","m0034","m0035","m0036","m0037","m0038","m0039","m0040","m0041","m0042","m0043","m0044","m0045","m0046","m0047","m0048","m0049","m0050","m0051","m0052","m0053","m0054","m0055","m0056","m0057","m0058","m0059","m0060","m0061","m0062","m0063","m0064","m0065","m0066","m0067","m0068","m0069","m0070","m0071","m0072","m0073","m0074","m0075","m0076","m0077","m0078","m0079","m0080","m0081","m0082","m0083","m0084","m0085","m0086","m0087","m0088","m0089","m0090","m0091","m0092","m0093","m0094","m0095","m0096","m0097","m0098","m0099","m0100","m0101","m0102","m0103","m0104","m0105","m0106","m0107","m0108","m0109","m0110","m0111","m0112","m0113","m0114","m0115","m0116","m0117","m0118","m0119","m0120","m0121","m0122","m0123","m0124","m0125","m0126","m0127","m0128","m0129","m0130","m0131","m0132","m0133","m0134","m0135","m0136","m0137","m0138","m0139","m0140","m0141","m0142","m0143","m0144","m0145","m0146","m0147","m0148","m0149","m0150","m0151","m0152","m0153","m0154","m0155","m0156","m0157","m0158","m0159","m0160","m0161","m0162","m0163","m0164","m0165","m0166","m0167"
1850,1850,1850.875,11,NA,NA,11.2847,11.9855,11.8486,11.8156,11.835,11.862,11.4446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9236,12.8815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1173,11.6922,11.4491,NA,NA,NA,12.4355,12.1893,12.3031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2847,11.9855,11.8486,11.8156,11.835,11.862,11.4446,NA,NA,NA,NA,12.9236,12.8815,NA,NA,NA,NA,NA,NA,NA,NA,12.1173,11.6922,11.4491,NA,NA,NA,12.4355,12.1893,12.3031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1851,1850.95833333333,12,NA,NA,10.4117,11.2458,11.1826,11.1471,10.9471,11.1656,10.7215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3379,12.3224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1922,10.6121,10.2064,NA,NA,NA,11.716,11.6632,11.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4117,11.2458,11.1826,11.1471,10.9471,11.1656,10.7215,NA,NA,NA,NA,12.3379,12.3224,NA,NA,NA,NA,NA,NA,NA,NA,11.1922,10.6121,10.2064,NA,NA,NA,11.716,11.6632,11.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.04166666667,1,NA,NA,10.3444,10.7339,10.8248,10.6552,10.3465,10.7526,10.0654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1166,11.9315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8745,10.3671000000001,10.2875,NA,NA,NA,11.358,11.3237,11.3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7125,10.3411,10.3767,10.6023,10.4475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3444,10.7339,10.8248,10.6552,10.3465,10.7526,10.0654,NA,NA,NA,NA,12.1166,11.9315,NA,NA,NA,NA,NA,NA,NA,NA,10.8745,10.3671000000001,10.2875,NA,NA,NA,11.358,11.3237,11.3241,NA,NA,NA,NA,NA,NA,NA,10.7125,10.3411,10.3767,10.6023,10.4475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.125,2,NA,NA,10.5817,10.9756,10.8955,10.684,10.8487,10.9734,10.2481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4494,12.3963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6273,10.6971,10.5933,NA,NA,NA,11.555,11.4401,11.6909,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0224,10.777,10.9703,11.0973,10.9046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5817,10.9756,10.8955,10.684,10.8487,10.9734,10.2481,NA,NA,NA,NA,12.4494,12.3963,NA,NA,NA,NA,NA,NA,NA,NA,11.6273,10.6971,10.5933,NA,NA,NA,11.555,11.4401,11.6909,NA,NA,NA,NA,NA,NA,NA,11.0224,10.777,10.9703,11.0973,10.9046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.20833333333,3,NA,NA,11.4602,11.5675,11.7881,11.6225,11.6463,11.5366,11.1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9217,12.9692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1513,11.6777,11.5007,NA,NA,NA,12.2256,12.2537,12.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8975,11.7185,11.8072,11.9792,11.8363000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4602,11.5675,11.7881,11.6225,11.6463,11.5366,11.1918,NA,NA,NA,NA,12.9217,12.9692,NA,NA,NA,NA,NA,NA,NA,NA,12.1513,11.6777,11.5007,NA,NA,NA,12.2256,12.2537,12.26,NA,NA,NA,NA,NA,NA,NA,11.8975,11.7185,11.8072,11.9792,11.8363000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.29166666667,4,NA,NA,12.6965,12.8045,12.9617,12.7098,12.7797,12.6129,11.9245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5837,13.5021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2962,12.3814,12.5,NA,NA,NA,13.2656,13.097,13.2425,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9167,12.8777,12.7878,12.9021,12.7292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6965,12.8045,12.9617,12.7098,12.7797,12.6129,11.9245,NA,NA,NA,NA,13.5837,13.5021,NA,NA,NA,NA,NA,NA,NA,NA,13.2962,12.3814,12.5,NA,NA,NA,13.2656,13.097,13.2425,NA,NA,NA,NA,NA,NA,NA,12.9167,12.8777,12.7878,12.9021,12.7292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.375,5,NA,NA,13.6277,13.8234,13.8226,13.6504,13.7557,13.4731,12.9975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2567,14.2358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2685,13.4979,13.5803,NA,NA,NA,14.3946,14.1432,14.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9037,13.6876,13.7426,13.8124,13.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6277,13.8234,13.8226,13.6504,13.7557,13.4731,12.9975,NA,NA,NA,NA,14.2567,14.2358,NA,NA,NA,NA,NA,NA,NA,NA,14.2685,13.4979,13.5803,NA,NA,NA,14.3946,14.1432,14.235,NA,NA,NA,NA,NA,NA,NA,13.9037,13.6876,13.7426,13.8124,13.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.45833333333,6,NA,NA,14.3633,14.3526,14.277,14.1377,14.3279,14.2354,13.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0238000000001,14.8529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2059,14.5673,14.6934,NA,NA,NA,15.1797,14.9535,15.1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4327,14.3021,14.2737,14.3923,14.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3633,14.3526,14.277,14.1377,14.3279,14.2354,13.522,NA,NA,NA,NA,15.0238000000001,14.8529,NA,NA,NA,NA,NA,NA,NA,NA,15.2059,14.5673,14.6934,NA,NA,NA,15.1797,14.9535,15.1123,NA,NA,NA,NA,NA,NA,NA,14.4327,14.3021,14.2737,14.3923,14.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.54166666667,7,NA,NA,14.6411,14.4988,14.3867,14.0937,14.2562,14.26,13.4896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4233,15.3297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5367,15.099,15.1156,NA,NA,NA,15.4834,15.2912,15.5235,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6393,14.5718,14.451,14.5971,14.6607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6411,14.4988,14.3867,14.0937,14.2562,14.26,13.4896,NA,NA,NA,NA,15.4233,15.3297,NA,NA,NA,NA,NA,NA,NA,NA,15.5367,15.099,15.1156,NA,NA,NA,15.4834,15.2912,15.5235,NA,NA,NA,NA,NA,NA,NA,14.6393,14.5718,14.451,14.5971,14.6607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.625,8,NA,NA,14.4344,14.228,13.9278,13.8704,13.9968,14.1419,13.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3409,15.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4714,14.8538,15.0642,NA,NA,NA,15.1978,15.1008,15.2212,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3611,14.2192,14.0878,14.2317,14.1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4344,14.228,13.9278,13.8704,13.9968,14.1419,13.385,NA,NA,NA,NA,15.3409,15.227,NA,NA,NA,NA,NA,NA,NA,NA,15.4714,14.8538,15.0642,NA,NA,NA,15.1978,15.1008,15.2212,NA,NA,NA,NA,NA,NA,NA,14.3611,14.2192,14.0878,14.2317,14.1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
