"model","scenario"
"m0001","SRES A1B"
"m0002","SRES A1B"
"m0003","SRES A1B"
"m0004","SRES A1B"
"m0005","SRES A1B"
"m0006","SRES A1B"
"m0007","SRES A1B"
"m0008","SRES A1B"
"m0009","SRES A1B"
"m0010","SRES A1B"
"m0011","SRES A1B"
"m0012","SRES A1B"
"m0013","SRES A1B"
"m0014","SRES A1B"
"m0015","SRES A1B"
"m0016","SRES A1B"
"m0017","SRES A1B"
"m0018","SRES A1B"
"m0019","SRES A1B"
"m0020","SRES A1B"
"m0021","SRES A1B"
"m0022","SRES A1B"
"m0023","SRES A1B"
