Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1909,-.73,-.51,-.43,-.51,-.48,-.22,-.18,.01,-.14,-.12,-.09,-.46,-.32,-.31,-.53,-.48,-.13,-.12
1910,-.31,-.24,-.35,-.26,-.15,-.23,-.11,-.08,-.02,-.24,-.42,-.59,-.25,-.24,-.34,-.25,-.14,-.23
1911,-.54,-.57,-.5,-.43,-.27,-.32,-.12,-.19,-.21,-.19,-.1,-.24,-.31,-.33,-.56,-.4,-.21,-.16
1912,-.17,-.08,-.41,-.17,-.16,-.14,-.38,-.55,-.42,-.44,-.49,-.3,-.31,-.3,-.16,-.25,-.36,-.45
1913,-.39,-.46,-.47,-.2,-.54,-.44,-.13,-.1,-.11,-.26,-.1,.0,-.27,-.29,-.38,-.4,-.22,-.16
1914,.19,-.01,-.02,-.16,.05,.0,-.11,-.05,-.03,.13,-.31,-.16,-.04,-.03,.06,-.04,-.05,-.07
1915,-.16,.05,-.08,.04,-.05,-.12,.16,.03,.11,-.04,.08,-.16,-.01,-.01,-.09,-.03,.02,.05
1916,-.07,-.1,-.35,-.19,-.24,-.34,-.23,-.09,-.12,-.18,-.39,-.72,-.25,-.21,-.11,-.26,-.22,-.23
1917,-.45,-.69,-.69,-.49,-.73,-.32,.13,-.3,-.27,-.43,-.33,-.85,-.45,-.44,-.62,-.64,-.16,-.34
1918,-.65,-.55,-.47,-.46,-.65,-.3,-.38,-.41,-.18,.05,-.23,-.29,-.37,-.42,-.68,-.53,-.36,-.12
1919,-.22,-.21,-.12,-.04,-.07,-.08,.03,-.03,-.19,-.04,-.44,-.23,-.14,-.14,-.24,-.08,-.03,-.22
1920,-.05,-.26,-.11,-.07,-.21,-.25,-.04,-.1,-.22,-.37,-.27,-.4,-.19,-.18,-.18,-.13,-.13,-.29
1921,.03,-.14,-.05,-.07,-.13,.01,.12,-.3,-.08,-.07,-.21,-.1,-.08,-.11,-.17,-.08,-.06,-.12
1922,-.31,-.34,-.19,.02,-.28,-.2,.03,-.12,-.07,-.15,-.05,-.07,-.14,-.15,-.25,-.15,-.1,-.09
1923,-.23,-.24,-.17,-.43,-.23,-.24,-.38,-.29,-.29,-.08,.05,.06,-.21,-.22,-.18,-.28,-.3,-.11
1924,-.25,-.34,-.09,-.37,-.19,-.11,-.1,-.07,-.02,-.09,-.06,-.28,-.16,-.14,-.17,-.22,-.1,-.06
1925,-.43,-.38,-.26,-.12,-.28,-.35,-.28,-.09,-.3,-.29,.0,.23,-.21,-.25,-.36,-.22,-.24,-.2
1926,.29,.3,.22,-.05,-.23,-.16,-.06,.09,.06,-.07,.07,-.24,.02,.06,.27,-.02,-.05,.02
1927,-.13,-.13,-.29,-.24,-.21,-.22,.03,-.2,.0,.22,.17,-.21,-.1,-.1,-.16,-.25,-.13,.13
1928,.1,.04,-.05,-.03,-.29,-.46,.02,.0,.03,-.07,.08,.0,-.05,-.07,-.02,-.12,-.15,.02
1929,-.26,-.4,-.3,-.33,-.31,-.33,-.26,-.29,-.16,.02,.01,-.53,-.26,-.22,-.22,-.31,-.29,-.05
1930,-.23,-.12,.0,-.17,-.09,-.15,-.11,-.14,-.19,-.28,.09,.03,-.11,-.16,-.29,-.09,-.13,-.13
1931,-.05,-.24,-.03,-.18,-.14,.02,.2,.19,-.13,.11,-.06,.14,-.01,-.02,-.09,-.12,.14,-.03
1932,.39,-.23,-.1,.14,-.06,-.33,-.09,-.13,.07,.13,-.05,-.12,-.03,-.01,.1,-.01,-.18,.05
1933,-.24,-.15,-.12,-.09,-.08,-.17,-.04,-.15,-.08,-.05,-.34,-.45,-.16,-.14,-.17,-.1,-.12,-.16
1934,-.12,-.04,-.26,-.27,.12,-.07,.11,.13,-.02,.0,.13,.19,-.01,-.06,-.2,-.14,.06,.04
1935,-.22,.27,.14,-.34,-.21,-.11,-.14,-.19,-.38,-.02,-.27,-.09,-.13,-.11,.08,-.14,-.15,-.22
1936,-.2,-.36,-.13,.06,-.24,-.07,.32,.08,.01,.04,.04,.14,-.03,-.05,-.22,-.1,.11,.03
1937,-.02,.09,-.12,-.07,.1,.08,.06,.09,.23,.22,.34,.02,.08,.1,.07,-.03,.08,.26
1938,.06,.11,.27,.33,.15,-.06,.09,-.04,.13,.39,.12,-.04,.13,.13,.06,.25,.0,.21
1939,.03,-.08,-.28,-.11,.07,-.03,-.05,-.22,-.1,-.08,-.12,.38,-.05,-.08,-.03,-.11,-.1,-.1
1940,-.13,.1,.13,.05,.12,.2,.33,.11,.15,.06,.07,.31,.12,.13,.12,.1,.21,.09
1941,.1,.24,-.04,.07,.1,.16,.37,.08,-.19,.11,-.01,.11,.09,.11,.21,.04,.2,-.03
1942,.27,.01,.01,.02,.07,.07,.09,.05,.03,.0,.14,.09,.07,.07,.13,.03,.07,.05
1943,-.2,.08,-.15,.04,-.05,-.12,.13,-.25,-.02,.29,.09,.23,.01,-.01,-.01,-.05,-.08,.12
1944,.35,.12,.07,-.04,-.05,-.1,.07,.08,.18,.23,.03,-.13,.07,.1,.23,-.01,.02,.15
1945,.05,-.11,.0,.22,-.21,-.24,-.14,.27,.05,.05,-.03,-.28,-.03,-.02,-.06,.0,-.04,.02
1946,.07,.03,-.1,.12,.1,-.11,.12,-.07,.03,-.14,-.03,-.22,-.02,-.02,-.06,.04,-.02,-.05
1947,-.02,.11,.24,.18,.07,.02,.12,.08,.04,.27,.27,-.07,.11,.1,-.04,.16,.07,.19
1948,.25,-.1,-.22,-.08,.07,.12,-.09,-.18,-.08,-.01,-.16,-.14,-.05,-.04,.03,-.08,-.05,-.08
1949,.07,-.29,-.1,-.26,-.11,-.17,-.02,-.13,-.06,.03,-.08,-.09,-.1,-.11,-.12,-.16,-.11,-.04
1950,-.24,-.27,-.03,-.16,-.19,-.07,-.05,-.28,-.12,-.13,-.32,-.12,-.17,-.16,-.2,-.13,-.13,-.19
1951,-.37,-.44,-.13,-.02,.1,-.07,-.05,.15,.03,.12,.09,.21,-.03,-.06,-.31,-.02,.01,.08
1952,.15,.16,-.09,-.01,-.07,-.02,.12,.15,.16,.02,-.15,.01,.04,.05,.17,-.06,.08,.01
1953,.15,.12,.21,.21,.08,.09,.03,.17,.13,.1,.07,.23,.13,.11,.09,.16,.1,.1
1954,-.23,-.01,-.04,-.1,-.14,-.15,-.21,-.17,-.17,.05,.24,-.07,-.08,-.06,-.01,-.09,-.18,.04
1955,.26,-.06,-.33,-.13,-.12,-.14,-.08,.03,-.1,.05,-.2,-.24,-.09,-.08,.04,-.19,-.07,-.08
1956,-.15,-.26,-.25,-.2,-.23,-.05,-.06,-.31,-.06,-.19,-.17,-.14,-.17,-.18,-.22,-.22,-.14,-.14
1957,-.11,.0,.0,.15,.1,.18,-.07,.15,.14,.0,.17,.22,.08,.05,-.08,.08,.09,.11
1958,.42,.24,.19,.13,.08,-.17,.12,-.09,-.08,.1,.1,-.06,.08,.11,.29,.14,-.05,.04
1959,.04,.06,.24,.14,-.01,.09,.09,.0,-.15,-.05,-.08,.09,.04,.03,.01,.12,.06,-.09
1960,.04,.24,-.45,-.23,-.14,-.06,-.11,.1,.05,.12,-.09,.19,-.03,-.04,.13,-.27,-.02,.03
1961,.09,.23,.03,.09,.23,.12,.0,.05,.18,.16,.08,-.15,.09,.12,.17,.12,.06,.14
1962,.06,.2,.1,.13,-.12,.1,-.12,-.06,.07,.05,.12,.01,.04,.03,.04,.04,-.03,.08
1963,-.01,.24,-.2,-.21,-.13,.03,.09,.22,.32,.07,.05,-.01,.04,.04,.08,-.18,.11,.15
1964,-.06,-.17,-.3,-.38,-.39,-.13,-.02,-.27,-.39,-.33,-.19,-.34,-.25,-.22,-.08,-.35,-.14,-.3
1965,-.03,-.17,-.1,-.26,-.09,-.1,-.26,-.06,-.2,-.09,-.12,-.19,-.14,-.15,-.18,-.15,-.14,-.14
1966,-.23,-.06,.13,-.13,-.1,-.05,.1,-.08,-.05,-.25,-.03,-.08,-.07,-.08,-.16,-.03,-.01,-.11
1967,-.05,-.26,.01,-.08,.12,-.13,.05,.02,.02,.15,.0,-.02,-.01,-.02,-.13,.02,-.02,.06
1968,-.19,-.17,.23,-.12,-.16,-.09,-.13,-.07,-.26,.05,-.08,-.23,-.1,-.08,-.13,-.01,-.1,-.09
1969,-.18,-.27,-.13,.13,.12,.11,-.09,-.08,.01,.06,.08,.33,.01,-.04,-.23,.04,-.02,.05
1970,.09,.28,.11,.04,-.08,.08,.05,-.1,.15,.05,.01,-.12,.05,.08,.23,.02,.01,.07
1971,-.07,-.15,-.21,-.08,-.1,-.25,-.1,.05,.02,-.01,-.13,-.12,-.1,-.1,-.11,-.13,-.1,-.04
1972,-.34,-.31,-.08,-.06,-.04,.06,.01,.21,.07,-.07,-.09,.13,-.04,-.06,-.26,-.06,.09,-.03
1973,.23,.31,.32,.35,.28,.24,.19,.07,.09,.18,.08,-.04,.19,.21,.22,.32,.16,.12
1974,-.06,-.24,-.04,-.11,.0,.0,.0,.12,-.14,-.07,-.09,-.05,-.06,-.06,-.11,-.05,.04,-.1
1975,.04,.04,.15,.01,.26,.01,-.01,-.26,-.05,-.09,-.16,-.25,-.02,-.01,.01,.14,-.09,-.1
1976,-.08,-.13,-.38,-.26,-.28,-.22,-.22,-.26,-.19,-.41,-.24,-.08,-.23,-.24,-.15,-.31,-.23,-.28
1977,.09,.2,.23,.23,.29,.27,.24,.27,-.16,-.1,.15,.08,.15,.14,.07,.25,.26,-.04
1978,.06,.15,.21,.21,.18,-.02,.15,-.2,.09,-.02,.07,.05,.08,.08,.1,.2,-.02,.05
1979,.12,-.14,.2,.2,-.06,.14,.0,.08,.18,.2,.24,.47,.13,.1,.01,.11,.07,.21
1980,.3,.36,.36,.36,.42,.14,.27,.22,.29,.14,.26,.17,.28,.3,.38,.38,.21,.23
