"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023","m0024","m0025","m0026","m0027","m0028","m0029","m0030","m0031","m0032","m0033","m0034","m0035","m0036","m0037","m0038","m0039","m0040","m0041","m0042","m0043","m0044","m0045","m0046","m0047","m0048","m0049","m0050","m0051","m0052","m0053","m0054","m0055","m0056","m0057","m0058","m0059","m0060","m0061","m0062","m0063","m0064","m0065","m0066","m0067","m0068","m0069","m0070","m0071","m0072","m0073","m0074","m0075","m0076","m0077","m0078","m0079","m0080","m0081","m0082","m0083","m0084","m0085","m0086","m0087","m0088","m0089","m0090","m0091","m0092","m0093","m0094","m0095","m0096","m0097","m0098","m0099","m0100","m0101","m0102","m0103","m0104","m0105","m0106","m0107","m0108","m0109","m0110","m0111","m0112","m0113","m0114","m0115","m0116","m0117","m0118","m0119","m0120","m0121","m0122"
1861,1861,1861.875,11,17.237,17.51511,17.28674,17.71628,17.54355,17.4418,16.45566,17.08063,17.65961,17.53815,17.16913,17.5593,18.50662,18.61798,18.63391,18.09634,18.12177,18.11307,17.70276,17.58603,16.13388,16.8085,17.71533,17.12936,17.29602,17.74884,17.58264,17.21829,17.66364,17.92099,17.237,17.51511,17.28793,17.80865,17.97073,17.54355,17.38364,17.78738,17.4418,16.45566,17.08698,17.65961,17.60834,17.16913,17.5593,18.53464,18.64832,18.65964,18.0264,18.05878,18.15741,18.13309,18.03586,17.70276,17.63052,17.58603,18.36676,16.13388,16.8085,17.6619,17.71533,17.12936,17.33212,17.74884,17.58264,17.21829,17.51511,17.80865,17.54355,16.45566,17.65961,17.53815,17.16913,17.5593,18.50662,18.61798,18.63391,18.09634,18.12177,18.11307,17.70276,17.61694,16.15381,17.71533,17.74884,17.58264,17.21829,17.66364,17.92099,17.237,17.28793,17.80865,17.97073,17.54355,17.38364,17.78738,17.48215,16.45566,17.07755,17.65961,17.53815,17.16913,17.5593,18.50662,18.61798,18.63391,18.09634,18.12177,18.11307,17.70276,17.63052,17.61694,18.36676,16.13388,16.8085,17.6619,17.71533,17.12936,17.29602,17.74884,17.58264,17.21829
1861,1862,1861.95833333333,12,17.49359,17.74164,17.44366,17.79623,17.7074,17.74014,16.6181,17.35272,17.78757,17.77853,17.51132,18.00894,18.84323,18.94806,18.96149,18.29761,18.28247,18.35339,17.91281,17.8111,16.36737,16.9632,17.83456,17.36581,17.54172,18.07013,17.64539,17.3295,17.79169,18.01361,17.49359,17.74164,17.4812,17.96582,18.14246,17.7074,17.52652,17.8884,17.74014,16.6181,17.31784,17.78757,17.86951,17.51132,18.00894,18.85675,18.97778,18.9761,18.28296,18.24863,18.36447,18.34866,18.2142,17.91281,17.85709,17.8111,18.46033,16.36737,16.9632,17.98618,17.83456,17.36581,17.56226,18.07013,17.64539,17.3295,17.74164,17.96582,17.7074,16.6181,17.78757,17.77853,17.51132,18.00894,18.84323,18.94806,18.96149,18.29761,18.28247,18.35339,17.91281,17.84863,16.35556,17.83456,18.07013,17.64539,17.3295,17.79169,18.01361,17.49359,17.4812,17.96582,18.14246,17.7074,17.52652,17.8884,17.76257,16.6181,17.31174,17.78757,17.77853,17.51132,18.00894,18.84323,18.94806,18.96149,18.29761,18.28247,18.35339,17.91281,17.85709,17.84863,18.46033,16.36737,16.9632,17.98618,17.83456,17.36581,17.54172,18.07013,17.64539,17.3295
1862,1862,1862.04166666667,1,17.89389,18.09131,17.69327,17.94357,18.00739,18.20065,16.87988,17.77213,17.95978,18.17328,18.11957,18.56393,19.26929,19.37186,19.39154,18.73944,18.65866,18.73285,18.36191,18.2106,16.7626,17.32803,18.08984,17.65695,17.85269,18.55917,17.82559,17.51294,18.10263,18.22147,17.89389,18.09131,17.76706,18.18317,18.42163,18.00739,17.82867,18.17505,18.20065,16.87988,17.70432,17.95978,18.29446,18.11957,18.56393,19.27878,19.40518,19.39926,18.69162,18.65491,18.74939,18.73691,18.62451,18.36191,18.30511,18.2106,18.62256,16.7626,17.32803,18.47797,18.08984,17.65695,17.89587,18.55917,17.82559,17.51294,18.09131,18.18317,18.00739,16.87988,17.95978,18.17328,18.11957,18.56393,19.26929,19.37186,19.39154,18.73944,18.65866,18.73285,18.36191,18.25443,16.7572,18.08984,18.55917,17.82559,17.51294,18.10263,18.22147,17.89389,17.76706,18.18317,18.42163,18.00739,17.82867,18.17505,18.20691,16.87988,17.69705,17.95978,18.17328,18.11957,18.56393,19.26929,19.37186,19.39154,18.73944,18.65866,18.73285,18.36191,18.30511,18.25443,18.62256,16.7626,17.32803,18.47797,18.08984,17.65695,17.85269,18.55917,17.82559,17.51294
1862,1862,1862.125,2,18.06604,18.27051,17.84717,18.05746,18.19711,18.33566,17.10965,18.03232,18.09109,18.36075,18.36606,18.83475,19.53799,19.60242,19.62439,19.02026,18.91608,18.98767,18.565,18.40973,17.00986,17.58731,18.27313,17.84558,18.02383,18.79419,17.94635,17.6778,18.28781,18.37927,18.06604,18.27051,17.93762,18.3302,18.5162,18.19711,17.97556,18.34689,18.33566,17.10965,17.97253,18.09109,18.48383,18.36606,18.83475,19.52734,19.64227,19.64185,18.9433,18.92279,19.00507,18.97562,18.85724,18.565,18.48749,18.40973,18.68109,17.00986,17.58731,18.66388,18.27313,17.84558,18.07251,18.79419,17.94635,17.6778,18.27051,18.3302,18.19711,17.10965,18.09109,18.36075,18.36606,18.83475,19.53799,19.60242,19.62439,19.02026,18.91608,18.98767,18.565,18.44443,17.00293,18.27313,18.79419,17.94635,17.6778,18.28781,18.37927,18.06604,17.93762,18.3302,18.5162,18.19711,17.97556,18.34689,18.38177,17.10965,17.9588,18.09109,18.36075,18.36606,18.83475,19.53799,19.60242,19.62439,19.02026,18.91608,18.98767,18.565,18.48749,18.44443,18.68109,17.00986,17.58731,18.66388,18.27313,17.84558,18.02383,18.79419,17.94635,17.6778
1862,1862,1862.20833333333,3,18.03946,18.26138,17.82968,18.09378,18.22125,18.27841,17.16611,18.04871,18.07059,18.31918,18.27902,18.66748,19.46683,19.49008,19.52432,18.97534,18.90503,18.9765,18.52866,18.33472,16.99622,17.58481,18.34888,17.84741,18.03918,18.70157,17.98834,17.70496,18.25369,18.33603,18.03946,18.26138,17.91821,18.3569,18.50269,18.22125,17.9884,18.3064,18.27841,17.16611,17.96924,18.07059,18.41565,18.27902,18.66748,19.43777,19.55853,19.55582,18.87024,18.897,18.99274,18.9538,18.85449,18.52866,18.38977,18.33472,18.66812,16.99622,17.58481,18.54623,18.34888,17.84741,18.06122,18.70157,17.98834,17.70496,18.26138,18.3569,18.22125,17.16611,18.07059,18.31918,18.27902,18.66748,19.46683,19.49008,19.52432,18.97534,18.90503,18.9765,18.52866,18.3634,16.9751,18.34888,18.70157,17.98834,17.70496,18.25369,18.33603,18.03946,17.91821,18.3569,18.50269,18.22125,17.9884,18.3064,18.30713,17.16611,17.96979,18.07059,18.31918,18.27902,18.66748,19.46683,19.49008,19.52432,18.97534,18.90503,18.9765,18.52866,18.38977,18.3634,18.66812,16.99622,17.58481,18.54623,18.34888,17.84741,18.03918,18.70157,17.98834,17.70496
1862,1862,1862.29166666667,4,17.82309,18.07956,17.68738,18.03027,18.11441,17.95532,17.01962,17.8064,17.9473,18.08084,18.04758,18.32874,19.1185,19.13293,19.20721,18.69534,18.66345,18.73428,18.27579,18.09576,16.80066,17.3497,18.24179,17.68564,17.92288,18.35629,17.88745,17.63312,18.09317,18.17273,17.82309,18.07956,17.7554,18.24466,18.40707,18.11441,17.83194,18.17487,17.95532,17.01962,17.74771,17.9473,18.17252,18.04758,18.32874,19.10028,19.21802,19.22412,18.55612,18.64078,18.74225,18.68756,18.64438,18.27579,18.14301,18.09576,18.58493,16.80066,17.3497,18.26291,18.24179,17.68564,17.94376,18.35629,17.88745,17.63312,18.07956,18.24466,18.11441,17.01962,17.9473,18.08084,18.04758,18.32874,19.1185,19.13293,19.20721,18.69534,18.66345,18.73428,18.27579,18.13815,16.81665,18.24179,18.35629,17.88745,17.63312,18.09317,18.17273,17.82309,17.7554,18.24466,18.40707,18.11441,17.83194,18.17487,18.01962,17.01962,17.7482,17.9473,18.08084,18.04758,18.32874,19.1185,19.13293,19.20721,18.69534,18.66345,18.73428,18.27579,18.14301,18.13815,18.58493,16.80066,17.3497,18.26291,18.24179,17.68564,17.92288,18.35629,17.88745,17.63312
1862,1862,1862.375,5,17.55963,17.85049,17.54224,17.95724,17.98367,17.69336,16.80246,17.47311,17.80875,17.87598,17.74646,18.01923,18.76147,18.79559,18.87747,18.41949,18.39587,18.41187,18.08603,17.87839,16.53589,17.09515,18.04755,17.41507,17.75446,18.02042,17.77277,17.54367,17.88205,18.00732,17.55963,17.85049,17.56927,18.10138,18.22073,17.98367,17.61526,17.92255,17.69336,16.80246,17.42865,17.80875,17.93738,17.74646,18.01923,18.77124,18.87872,18.89313,18.26184,18.36093,18.47449,18.42166,18.38879,18.08603,17.87524,17.87839,18.46301,16.53589,17.09515,17.90677,18.04755,17.41507,17.74728,18.02042,17.77277,17.54367,17.85049,18.10138,17.98367,16.80246,17.80875,17.87598,17.74646,18.01923,18.76147,18.79559,18.87747,18.41949,18.39587,18.41187,18.08603,17.93536,16.55533,18.04755,18.02042,17.77277,17.54367,17.88205,18.00732,17.55963,17.56927,18.10138,18.22073,17.98367,17.61526,17.92255,17.76773,16.80246,17.43118,17.80875,17.87598,17.74646,18.01923,18.76147,18.79559,18.87747,18.41949,18.39587,18.41187,18.08603,17.87524,17.93536,18.46301,16.53589,17.09515,17.90677,18.04755,17.41507,17.75446,18.02042,17.77277,17.54367
1862,1862,1862.45833333333,6,17.44147,17.715,17.50327,17.91385,17.87784,17.63486,16.61484,17.28928,17.74557,17.7554,17.6098,17.87589,18.5675,18.60388,18.70685,18.25568,18.25223,18.25708,18.01965,17.80923,16.41205,16.93146,17.88489,17.22031,17.61823,17.89651,17.63712,17.47342,17.8187,17.98517,17.44147,17.715,17.48282,17.979,18.05862,17.87784,17.47476,17.72876,17.63486,16.61484,17.22858,17.74557,17.8233,17.6098,17.87589,18.60083,18.70258,18.70999,18.14758,18.22897,18.34155,18.28568,18.25607,18.01965,17.82092,17.80923,18.35693,16.41205,16.93146,17.79919,17.88489,17.22031,17.58401,17.89651,17.63712,17.47342,17.715,17.979,17.87784,16.61484,17.74557,17.7554,17.6098,17.87589,18.5675,18.60388,18.70685,18.25568,18.25223,18.25708,18.01965,17.86334,16.39478,17.88489,17.89651,17.63712,17.47342,17.8187,17.98517,17.44147,17.48282,17.979,18.05862,17.87784,17.47476,17.72876,17.70187,16.61484,17.22797,17.74557,17.7554,17.6098,17.87589,18.5675,18.60388,18.70685,18.25568,18.25223,18.25708,18.01965,17.82092,17.86334,18.35693,16.41205,16.93146,17.79919,17.88489,17.22031,17.61823,17.89651,17.63712,17.47342
1862,1862,1862.54166666667,7,17.3941,17.72211,17.57953,17.91135,17.82928,17.70563,16.5065,17.21234,17.71255,17.741,17.65787,17.89987,18.5246,18.57132,18.6651,18.31827,18.29568,18.31061,18.03476,17.85178,16.50681,17.03714,17.82925,17.15466,17.51041,17.98499,17.5726,17.43475,17.86124,18.00357,17.3941,17.72211,17.51212,17.90707,17.97989,17.82928,17.46048,17.73358,17.70563,16.5065,17.19708,17.71255,17.87549,17.65787,17.89987,18.57016,18.68015,18.68716,18.14914,18.27676,18.37869,18.34915,18.30948,18.03476,17.89435,17.85178,18.29449,16.50681,17.03714,17.93353,17.82925,17.15466,17.52832,17.98499,17.5726,17.43475,17.72211,17.90707,17.82928,16.5065,17.71255,17.741,17.65787,17.89987,18.5246,18.57132,18.6651,18.31827,18.29568,18.31061,18.03476,17.90411,16.4639,17.82925,17.98499,17.5726,17.43475,17.86124,18.00357,17.3941,17.51212,17.90707,17.97989,17.82928,17.46048,17.73358,17.79132,16.5065,17.20236,17.71255,17.741,17.65787,17.89987,18.5246,18.57132,18.6651,18.31827,18.29568,18.31061,18.03476,17.89435,17.90411,18.29449,16.50681,17.03714,17.93353,17.82925,17.15466,17.51041,17.98499,17.5726,17.43475
1862,1862,1862.625,8,17.46078,17.70123,17.62772,17.89957,17.81705,17.75772,16.48361,17.22787,17.70557,17.71844,17.6637,17.88266,18.53201,18.60648,18.70978,18.40051,18.40085,18.44339,18.02371,17.88782,16.61252,17.18024,17.84885,17.15378,17.48312,18.05197,17.58017,17.4505,17.92667,18.04782,17.46078,17.70123,17.53503,17.85779,17.91568,17.81705,17.44443,17.75919,17.75772,16.48361,17.20267,17.70557,17.89163,17.6637,17.88266,18.59686,18.73331,18.73297,18.20932,18.36493,18.46463,18.46548,18.39972,18.02371,17.91931,17.88782,18.31015,16.61252,17.18024,18.03674,17.84885,17.15378,17.51828,18.05197,17.58017,17.4505,17.70123,17.85779,17.81705,16.48361,17.70557,17.71844,17.6637,17.88266,18.53201,18.60648,18.70978,18.40051,18.40085,18.44339,18.02371,17.94205,16.55295,17.84885,18.05197,17.58017,17.4505,17.92667,18.04782,17.46078,17.53503,17.85779,17.91568,17.81705,17.44443,17.75919,17.8504,16.48361,17.20065,17.70557,17.71844,17.6637,17.88266,18.53201,18.60648,18.70978,18.40051,18.40085,18.44339,18.02371,17.91931,17.94205,18.31015,16.61252,17.18024,18.03674,17.84885,17.15378,17.48312,18.05197,17.58017,17.4505
